"Index","RealEstate.Close"
2005-05-11,278.72
2005-05-12,277.96
2005-05-13,279.15
2005-05-16,279.28
2005-05-17,279.23
2005-05-18,279.5
2005-05-19,279.79
2005-05-20,280.37
2005-05-23,280.01
2005-05-24,280.09
2005-05-25,281.26
2005-05-26,283.35
2005-05-27,284.55
2005-05-30,284.87
2005-05-31,288
2005-06-01,285.15
2005-06-02,283.32
2005-06-03,283.63
2005-06-06,284.43
2005-06-07,284.66
2005-06-08,287.25
2005-06-09,287.95
2005-06-10,288.84
2005-06-13,288.6
2005-06-14,288.07
2005-06-15,288.04
2005-06-17,285.65
2005-06-20,284.03
2005-06-21,285.44
2005-06-22,288.01
2005-06-23,290.52
2005-06-24,291.99
2005-06-27,292.79
2005-06-28,293.49
2005-06-29,294.81
2005-06-30,297.39
2005-07-01,298.85
2005-07-04,297.4
2005-07-05,299.48
2005-07-06,300.44
2005-07-07,300.07
2005-07-08,301.38
2005-07-11,300.54
2005-07-12,301.7
2005-07-13,304.16
2005-07-14,305.09
2005-07-15,304.81
2005-07-18,305.53
2005-07-19,305.07
2005-07-20,306.18
2005-07-21,303.66
2005-07-22,304.06
2005-07-25,305.53
2005-07-26,305.41
2005-07-27,305.33
2005-07-28,307.73
2005-07-29,309.4
2005-08-01,310.14
2005-08-02,310.74
2005-08-03,311.49
2005-08-04,313.06
2005-08-05,316.65
2005-08-08,317.52
2005-08-10,323.73
2005-08-11,321.2
2005-08-12,321.14
2005-08-15,321
2005-08-16,321.5
2005-08-17,321.95
2005-08-18,325.96
2005-08-19,326.87
2005-08-22,326.75
2005-08-23,327.14
2005-08-24,327.42
2005-08-25,327.96
2005-08-26,328.37
2005-08-29,327.62
2005-08-30,326.88
2005-08-31,328.98
2005-09-01,329.95
2005-09-02,330.38
2005-09-05,330.62
2005-09-06,330.6
2005-09-07,333.24
2005-09-08,333.44
2005-09-09,330.2
2005-09-12,330.08
2005-09-13,330.56
2005-09-14,334.14
2005-09-15,336.18
2005-09-16,336.65
2005-09-19,337.33
2005-09-20,338.95
2005-09-21,340.25
2005-09-22,338.4
2005-09-23,337.77
2005-09-26,338.36
2005-09-27,338.48
2005-09-28,338.75
2005-09-29,338.17
2005-09-30,340.52
2005-10-03,339.35
2005-10-04,339.5
2005-10-05,340.1
2005-10-06,339.38
2005-10-07,339.49
2005-10-10,341.26
2005-10-11,343.99
2005-10-12,343.44
2005-10-13,344.67
2005-10-14,344.88
2005-10-17,347.29
2005-10-18,346.54
2005-10-19,347.75
2005-10-20,349.96
2005-10-21,355.25
2005-10-24,352.42
2005-10-25,352.07
2005-10-26,352.62
2005-10-27,350.1
2005-10-28,348.98
2005-10-31,348.12
2005-11-01,345.25
2005-11-02,341.64
2005-11-03,338.24
2005-11-04,339.13
2005-11-07,342.79
2005-11-08,342
2005-11-09,343.23
2005-11-10,342.23
2005-11-11,342.64
2005-11-14,344.08
2005-11-15,341.07
2005-11-16,340.97
2005-11-17,339.88
2005-11-18,340.99
2005-11-21,339.04
2005-11-22,340.2
2005-11-23,340.8
2005-11-24,340.67
2005-11-25,338.59
2005-11-28,339.17
2005-11-29,340.83
2005-11-30,342.44
2005-12-01,344.11
2005-12-02,345.21
2005-12-05,346.97
2005-12-06,349.32
2005-12-07,354.59
2005-12-08,359.06
2005-12-09,362.67
2005-12-12,367.87
2005-12-13,371.28
2005-12-14,371.61
2005-12-15,371.78
2005-12-19,373.2
2005-12-20,373.41
2005-12-21,374.26
2005-12-22,373.53
2005-12-23,374.5
2005-12-27,375.21
2005-12-28,376.39
2005-12-29,377.11
2005-12-30,379.19
2006-01-03,378.18
2006-01-04,379.46
2006-01-05,379.75
2006-01-06,380.24
2006-01-09,379.88
2006-01-10,380.65
2006-01-11,380.94
2006-01-12,381.83
2006-01-13,382.05
2006-01-16,382.66
2006-01-17,383.3
2006-01-18,384.65
2006-01-19,386.39
2006-01-20,386.95
2006-01-23,391.96
2006-01-24,396.31
2006-01-25,402.34
2006-01-26,406.01
2006-01-27,405.86
2006-01-30,403.38
2006-01-31,403.73
2006-02-01,398.11
2006-02-02,397.25
2006-02-03,392.87
2006-02-06,395.12
2006-02-07,395.09
2006-02-08,398.14
2006-02-09,403.26
2006-02-10,412.74
2006-02-13,411.5
2006-02-14,409.73
2006-02-15,414.64
2006-02-16,415.47
2006-02-17,420.82
2006-02-20,423.15
2006-02-21,428.54
2006-02-22,430.4
2006-02-23,428.99
2006-02-24,429.05
2006-02-27,429.93
2006-02-28,430.8
2006-03-02,433.18
2006-03-03,435.54
2006-03-06,439.56
2006-03-07,437.24
2006-03-08,434.17
2006-03-09,436.8
2006-03-10,438.05
2006-03-13,437.67
2006-03-14,442.06
2006-03-15,441.02
2006-03-16,439.49
2006-03-17,440.11
2006-03-20,445.65
2006-03-22,444.08
2006-03-23,446.99
2006-03-24,448
2006-03-27,449.13
2006-03-28,451
2006-03-29,454.47
2006-03-30,457.79
2006-03-31,462.12
2006-04-03,460.72
2006-04-04,457.54
2006-04-05,455.82
2006-04-06,453.91
2006-04-07,454.05
2006-04-10,454.18
2006-04-11,453.35
2006-04-12,452.33
2006-04-13,452.35
2006-04-18,450.31
2006-04-19,452.03
2006-04-20,453.28
2006-04-21,452.93
2006-04-24,453.22
2006-04-25,452.96
2006-04-26,455.71
2006-04-28,458.45
2006-05-02,460.68
2006-05-03,460.64
2006-05-04,461.49
2006-05-05,462.48
2006-05-08,464.58
2006-05-09,465.68
2006-05-10,465.34
2006-05-11,464.87
2006-05-12,460.6
2006-05-15,444.12
2006-05-16,442.56
2006-05-17,448.09
2006-05-18,440.27
2006-05-19,439.67
2006-05-22,427.24
2006-05-23,428.64
2006-05-24,427.65
2006-05-25,427.24
2006-05-26,431.29
2006-05-29,434.25
2006-05-30,437.95
2006-05-31,434.9
2006-06-01,435.69
2006-06-02,440.39
2006-06-05,443.87
2006-06-06,440.45
2006-06-07,435.45
2006-06-08,422.19
2006-06-09,417.08
2006-06-12,416.64
2006-06-13,408.5
2006-06-14,408.38
2006-06-15,413.08
2006-06-19,413.55
2006-06-20,406.61
2006-06-21,404.36
2006-06-22,399.96
2006-06-23,381.12
2006-06-26,367.88
