Date,JALSH,MSCIWORLD,SA10YR,GSCI,JASPY,TBILLS,SACPI,USDZAR
31198,17.86599192,9.204927485,2.831760489,17.92500065,#N/A,3.426491508,5.125,2.793059848
31228,17.85395533,9.232582329,2.979147076,17.15317228,#N/A,3.482400428,5.1875,2.753020511
31259,17.06519705,10.56590744,3.03847291,18.8057815,#N/A,3.531705414,5.1875,3.087665074
31290,18.56074731,13.64985985,2.957083563,24.4640946,#N/A,3.579707176,5.25,3.957431863
31320,19.08555972,12.49841721,2.912067385,23.50467969,#N/A,3.62892815,5.3125,3.597639786
31351,19.62690588,13.287136,2.872317288,25.43504343,#N/A,3.67453168,5.375,3.630233212
31381,21.0734181,14.67076667,2.83488891,27.06648917,#N/A,3.718013639,5.4375,3.796993538
31412,21.47471803,14.6039888,2.857809833,25.27874764,#N/A,3.758230153,5.5625,3.611548188
31443,22.82685551,13.17382476,2.962915112,20.43696323,#N/A,3.798756401,5.6875,3.211154819
31471,22.82284839,12.47558425,3.067584465,17.13944874,#N/A,3.83721881,5.75,2.79025007
31502,24.04579059,14.82504101,3.095589426,18.51695548,#N/A,3.875590998,5.875,3.021213824
31532,22.40773224,14.57113595,3.129955243,18.71509919,#N/A,3.914314611,5.9375,2.890699635
31563,23.52680169,16.66939614,3.211990709,20.6710606,#N/A,3.951402742,5.9375,3.317364428
31593,24.93405173,18.17078905,3.217198607,22.48845256,#N/A,3.987492221,6.0625,3.477521776
31624,26.90394815,18.94465858,3.416160428,23.48980727,#N/A,4.023446109,6.1875,3.597639786
31655,31.1442589,20.51630177,3.726749362,25.40889623,#N/A,4.058953021,6.25,3.583871874
31685,32.21158672,17.21518312,3.848394632,21.64740004,#N/A,4.09227026,6.375,3.132481034
31716,31.94911796,17.39975954,3.654630957,22.50222569,#N/A,4.123201003,6.4375,3.222253442
31746,33.74897341,17.54785505,3.724331674,22.43747965,#N/A,4.154674771,6.5,3.118572633
31777,33.41379919,17.63027741,3.844181157,21.94740082,#N/A,4.185073141,6.5625,3.072773251
31808,36.18025697,18.85911874,3.916339189,22.2163399,#N/A,4.214403529,6.6875,2.942118573
31836,35.70535391,19.33497075,3.918413959,20.7307847,#N/A,4.245379394,6.75,2.92076426
31867,36.95882477,19.94704013,4.052524523,21.77179538,#N/A,4.276406042,6.875,2.838156786
31897,40.26752657,20.94277927,4.057798484,22.68216497,#N/A,4.306697252,6.9375,2.815397584
31928,40.06509453,21.15764766,4.034061539,23.9449201,#N/A,4.337561915,7,2.840966564
31958,40.16309082,21.40088186,4.076161869,25.10599379,#N/A,4.369262264,7.0625,2.8759483
31989,45.43912137,22.09434193,4.14941198,26.55182461,#N/A,4.400684541,7.125,2.911632481
32020,46.81943369,23.03741363,4.289295692,25.61613542,#N/A,4.432882883,7.1875,2.867097499
32050,46.47114364,23.03045134,4.330066279,26.2602671,#N/A,#N/A,7.375,2.917673504
32081,35.59226883,18.55608393,4.364923831,25.76087778,#N/A,4.46479964,7.4375,2.832396741
32111,33.71545411,17.48258825,4.404837789,24.87785318,#N/A,4.497169437,7.5,2.735880865
32142,31.99437134,18.07638628,4.427809405,23.97691696,#N/A,4.529661487,7.5625,2.712138241
32173,27.70830139,19.10194229,4.337689391,25.39833,#N/A,4.563747189,7.625,2.798538915
32202,26.94354449,21.17574148,4.314459148,26.32437627,#N/A,4.599496542,7.625,2.932986794
32233,29.933282,22.19905009,4.355112391,28.14559331,#N/A,4.636637477,7.75,2.985389154
32263,30.6847385,22.78511554,4.451020367,29.42072053,#N/A,4.676976223,7.8125,3.02683338
32294,30.11977162,23.20964126,4.514033171,31.66855689,#N/A,4.718562337,7.9375,3.146951391
32324,31.66071959,24.10221684,4.644079766,32.02077819,#N/A,4.763821214,8,3.273391402
32355,32.81531261,25.76059065,4.715438511,33.8000013,#N/A,4.810943345,8.0625,3.434953639
32386,31.36089029,24.38824314,4.780817312,33.64031961,#N/A,4.859533873,8.1875,3.441978084
32416,33.75580137,25.8827906,4.856443867,33.32270992,#N/A,4.910680467,8.25,3.505198089
32447,36.05435343,27.73655526,4.81807702,35.11079748,#N/A,4.963306593,8.375,3.522759202
32477,36.05937176,26.2973732,4.815074738,34.02628995,#N/A,5.018440657,8.4375,3.228434954
32508,36.73035284,27.51530599,4.896008462,37.87283925,#N/A,5.07937289,8.5,3.348552964
32539,41.26950126,28.74894438,4.980442195,38.3557855,#N/A,5.144050238,8.625,3.377353189
32567,44.67317032,29.49946067,5.049329487,41.32016788,#N/A,5.209079607,8.75,3.488339421
32598,47.17530982,30.24676177,5.052081807,45.52907086,#N/A,5.275842644,8.875,3.600730542
32628,48.45863232,30.91864715,5.051993977,46.94752928,#N/A,5.346143247,9,3.598623209
32659,44.96988698,32.25387208,5.086579391,49.57716349,#N/A,5.418137976,9.125,3.849395898
32689,49.42762704,32.34674881,5.193456622,52.05980529,#N/A,5.49484978,9.1875,3.905591458
32720,50.47152348,34.29699928,5.280075682,48.21277883,#N/A,5.573426131,9.25,3.721550997
32751,52.68794456,34.9237099,5.392933902,52.07245441,#N/A,5.653126125,9.4375,3.884518123
32781,52.51571807,34.8686415,5.52323209,53.58759265,#N/A,5.73387161,9.5,3.772829446
32812,51.36537547,33.11353382,5.571688706,52.28911245,#N/A,5.815674845,9.5625,3.707502107
32842,54.63039828,33.78754103,5.655427673,52.14614005,#N/A,5.901746833,9.6875,3.638662546
32873,57.03372176,34.36013524,6.033670649,56.0841816,#N/A,5.990273035,9.8125,3.585979208
32904,61.44186465,32.88806276,6.221849184,56.07932843,#N/A,6.080127131,9.9375,3.601432987
32932,59.48512933,31.40139686,6.264785277,55.77627848,#N/A,6.171329038,10,3.593706097
32963,62.99406573,30.6145639,6.330512796,58.31505684,#N/A,6.263950401,10.1875,3.729980332
32993,58.82574365,30.26030051,6.25847564,57.88825853,#N/A,6.357596459,10.25,3.741921888
33024,62.03086566,33.4246104,6.340716837,57.43912695,#N/A,6.452960406,10.375,3.740516999
33054,60.05056714,33.08319958,6.272891541,56.39070457,#N/A,6.549754812,10.4375,3.729980332
33085,61.68706984,32.55134257,6.436215033,59.53892332,#N/A,6.647891972,10.5,3.637960101
33116,58.78130384,29.30093556,6.570659997,68.9602971,#N/A,6.746557769,10.6875,3.614076988
33146,54.08704607,26.15548812,6.612517202,84.6314598,#N/A,6.845900832,10.8125,3.607754987
33177,52.74950343,28.30323022,6.657290687,78.72038481,#N/A,6.945622787,10.9375,3.571930318
33207,51.63168862,27.57230871,6.790741069,72.87617207,#N/A,7.047607682,11.1875,3.539055915
33238,54.17436512,28.6245102,7.040387228,72.67562094,#N/A,7.151266245,11.25,3.600028098
33269,51.1018821,29.43548693,7.119972614,65.35194938,#N/A,7.254900012,11.375,3.572632762
33297,56.21222057,32.4536865,7.363785346,66.88598876,#N/A,7.359491487,11.5,3.606350098
33328,57.87731852,33.52346224,7.437182552,73.89184097,#N/A,7.464548228,11.5625,3.839561675
33358,61.18157684,34.17062551,7.464078092,76.45031647,#N/A,7.569860562,11.75,3.884518123
33389,63.01324096,35.65454619,7.496378082,77.98636148,#N/A,7.675775528,11.9375,3.964596797
33419,67.0512118,34.22483672,7.487016864,77.92044298,#N/A,7.782468808,12,4.057319472
33450,70.99279317,35.53364623,7.545119698,81.22112047,#N/A,7.890709978,12.1875,4.023742624
33481,68.28517513,35.53217868,7.518662876,82.7584016,#N/A,8.000522359,12.3125,4.037651026
33511,67.4204457,35.5460632,7.605702131,81.33642788,#N/A,8.111662948,12.5,3.937201461
33542,72.27405865,36.49821667,7.580028236,84.56507563,#N/A,8.223603897,12.75,3.979348131
33572,72.79634005,34.52092366,7.825584881,80.27571658,#N/A,8.33585609,12.875,3.936499017
33603,70.91198457,36.26966944,7.998788355,73.07587864,#N/A,8.448529078,13.0625,3.856420343
33634,74.48684969,36.2888817,8.113389977,76.56458894,#N/A,8.562232199,13.25,3.932424838
33663,74.51692445,36.22373755,8.144652143,76.93970569,#N/A,8.676609351,13.3125,3.995504355
33694,73.73576731,34.90666328,8.435989164,78.70229595,#N/A,8.791285204,13.4375,4.041865693
33724,71.947653,35.3523238,8.61258155,80.99292061,#N/A,8.904766044,13.625,4.038493959
33755,77.92222259,36.27300146,8.851732115,82.09561225,#N/A,9.016224032,13.6875,3.986372577
33785,76.53113056,34.2252895,8.964898512,79.72965905,#N/A,9.124644126,13.8125,3.892947457
33816,72.05790621,34.21854078,9.395822261,78.4285541,#N/A,9.231250385,14,3.883534701
33847,66.38076676,34.7947568,9.96151334,77.96237592,#N/A,9.334871171,14.125,3.856420343
33877,67.86966281,35.34347944,10.18541004,80.86723084,#N/A,9.433820805,14.1875,3.954762574
33908,63.97761394,36.11982088,10.47907862,83.10403264,#N/A,9.528630704,14.25,4.155521214
33938,67.89048823,37.55734677,10.23022731,83.83313066,#N/A,9.624631659,14.3125,4.246277044
33969,69.51141936,38.25608164,10.16548149,84.92532983,1,9.721038386,14.3125,4.291935937
34000,73.42495866,38.59862392,10.42268499,86.4614874,1.0002,9.818572804,14.5,4.317223939
34028,73.30289256,40.45908437,10.70751855,89.58646433,0.98089614,9.915613032,14.5625,4.421888171
34059,76.54758529,43.20758539,10.76302575,92.33977371,0.983838828,10.00972873,14.75,4.464737286
34089,80.45996713,44.94927589,10.59680925,90.84458884,0.944583659,10.10432066,15.0625,4.440151728
34120,86.24882815,46.25692386,10.78882059,88.87836263,0.925030777,10.19812244,15.125,4.467547064
34150,88.29420223,48.16420678,11.05624827,90.41169683,0.971559826,10.29585445,15.25,4.692329306
34181,90.64011884,49.80610953,11.44647488,90.83755847,1.016543045,10.3977834,15.3125,4.755549312
34212,87.77268989,51.98456478,11.81983568,91.4230176,1.008105738,10.49968168,15.4375,4.747119978
34242,82.25385277,51.97027266,12.31642894,93.3783211,1.019698954,10.60205358,15.5,4.83633043
34273,85.64562969,52.05303138,12.60140304,87.76906238,1.003179831,10.7045401,15.5625,4.715228997
34303,91.27344687,49.21623268,13.00543853,83.57071737,1.009399546,10.80444914,15.625,4.726749087
34334,107.4333264,52.15704589,13.40015667,82.86380359,1.15596436,10.89610688,15.6875,4.776622647
34365,104.6186993,55.70749275,13.63673781,89.80833481,1.207635967,10.98863299,15.875,4.787159314
34393,106.8246353,55.9019768,13.32847801,89.33819831,1.206911385,11.08157851,15.9375,4.867940433
34424,109.097984,53.75721996,13.33080907,88.73318515,1.220549484,11.17540254,16.0625,4.893228435
34454,118.574984,56.03637156,13.29297415,92.09236457,1.094344667,11.26974156,16.125,4.94886204
34485,119.6143464,57.80058098,13.06978893,96.17948558,1.145669432,11.36666134,16.25,5.092722675
34515,120.0136288,57.98456117,12.74330993,99.1570918,1.193672982,11.4685824,16.3125,5.124332678
34546,125.7360438,59.59999418,12.47610897,101.7628783,1.196418429,11.57218193,16.5625,5.169991571
34577,130.0125958,59.85175259,12.16514574,92.53929664,1.242719823,11.67594583,16.8125,5.041163248
34607,126.7341754,57.88757533,11.73619435,91.073246,1.214882899,11.78054285,17.0625,5.008429334
